city,province,grade
黔南州,贵州省,12
玉树州,青海省,14
永州市,湖南省,15
南平市,福建省,17
遵义市,贵州省,18
广元市,四川省,18
河池市,广西壮族自治区,19
巴中市,四川省,19
绵阳市,四川省,20
三亚市,海南省,20
安顺市,贵州省,20
固原市,宁夏回族自治区,22
黔东南州,贵州省,23
重庆市,重庆市,23
广安市,四川省,23
郴州市,湖南省,23
陇南市,甘肃省,24
桂林市,广西壮族自治区,24
乐山市,四川省,24
黑河市,黑龙江省,25
雅安市,四川省,25
天水市,甘肃省,25
定西市,甘肃省,25
阿勒泰地区,新疆维吾尔自治区,26
眉山市,四川省,26
德阳市,四川省,26
衢州市,浙江省,28
鄂尔多斯市,内蒙古自治区,28
兴安盟,内蒙古自治区,28
柳州市,广西壮族自治区,28
甘孜州,四川省,28
庆阳市,甘肃省,28
银川市,宁夏回族自治区,29
黔西南州,贵州省,29
衡阳市,湖南省,29
锡林郭勒盟,内蒙古自治区,29
黄山市,安徽省,30
伊春市,黑龙江省,30
邵阳市,湖南省,30
资阳市,四川省,30
百色市,广西壮族自治区,31
通化市,吉林省,31
太原市,山西省,31
临夏州,甘肃省,31
义乌市,浙江省,32
呼伦贝尔市,内蒙古自治区,32
海口市,海南省,32
毕节市,贵州省,32
延安市,陕西省,32
怀化市,湖南省,32
梅州市,广东省,33
楚雄州,云南省,33
安庆市,安徽省,33
阿拉善盟,内蒙古自治区,33
赤峰市,内蒙古自治区,33
阳泉市,山西省,33
株洲市,湖南省,33
汉中市,陕西省,34
长治市,山西省,34
丹东市,辽宁省,34
池州市,安徽省,34
铜陵市,安徽省,34
金华市,浙江省,34
上海市,上海市,34
昆明市,云南省,34
丽江市,云南省,34
贵阳市,贵州省,34
泸州市,四川省,34
达州市,四川省,34
咸宁市,湖北省,34
湘西州,湖南省,34
娄底市,湖南省,35
南通市,江苏省,35
白山市,吉林省,35
延边州,吉林省,35
张家港市,江苏省,35
海东地区,青海省,35
海南州,青海省,35
吴忠市,宁夏回族自治区,35
甘南州,甘肃省,36
榆林市,陕西省,36
铜川市,陕西省,36
恩施州,湖北省,36
晋中市,山西省,36
白城市,吉林省,36
萍乡市,江西省,36
蚌埠市,安徽省,36
宿迁市,江苏省,36
泰州市,江苏省,36
大兴安岭地区,黑龙江省,36
徐州市,江苏省,36
韶关市,广东省,36
贺州市,广西壮族自治区,36
铜仁地区,贵州省,36
林芝市,西藏自治区,36
阿里地区,西藏自治区,36
迪庆州,云南省,37
苏州市,江苏省,37
宁波市,浙江省,37
大庆市,黑龙江省,37
寿光市,山东省,37
乳山市,山东省,37
海门市,江苏省,37
白银市,甘肃省,38
黄南州,青海省,38
五家渠市,新疆维吾尔自治区,38
七台河市,黑龙江省,38
巴彦淖尔市,内蒙古自治区,38
包头市,内蒙古自治区,38
马鞍山市,安徽省,38
宣城市,安徽省,38
拉萨市,西藏自治区,38
商丘市,河南省,38
清远市,广东省,38
茂名市,广东省,39
湘潭市,湖南省,39
常德市,湖南省,39
阿坝州,四川省,39
九江市,江西省,39
三明市,福建省,39
温州市,浙江省,39
南京市,江苏省,39
镇江市,江苏省,39
淮南市,安徽省,39
台州市,浙江省,39
舟山市,浙江省,39
吕梁市,山西省,39
太仓市,江苏省,39
胶州市,山东省,39
中卫市,宁夏回族自治区,39
昌都市,西藏自治区,39
金昌市,甘肃省,40
即墨市,山东省,40
常熟市,江苏省,40
本溪市,辽宁省,40
淮北市,安徽省,40
芜湖市,安徽省,40
盐城市,江苏省,40
淮安市,江苏省,40
连云港市,江苏省,40
无锡市,江苏省,40
昭通市,云南省,40
日喀则市,西藏自治区,40
山南市,西藏自治区,40
张家界市,湖南省,41
滁州市,安徽省,41
新余市,江西省,41
扬州市,江苏省,41
昆山市,江苏省,41
江阴市,江苏省,41
荣成市,山东省,42
莱西市,山东省,42
合肥市,安徽省,42
潍坊市,山东省,42
黄冈市,湖北省,43
宁德市,福建省,43
克拉玛依市,新疆维吾尔自治区,43
富阳市,浙江省,43
文登市,山东省,44
平度市,山东省,44
吴江市,江苏省,44
石河子市,新疆维吾尔自治区,44
兰州市,甘肃省,44
丽水市,浙江省,44
济宁市,山东省,44
湛江市,广东省,44
成都市,四川省,45
遂宁市,四川省,45
泰安市,山东省,45
鄂州市,湖北省,45
晋城市,山西省,45
临汾市,山西省,45
宜春市,江西省,45
海西州,青海省,46
诸暨市,浙江省,46
临安市,浙江省,46
绍兴市,浙江省,46
嘉兴市,浙江省,46
六安市,安徽省,46
鹰潭市,江西省,46
吉安市,江西省,46
淄博市,山东省,46
盘锦市,辽宁省,46
乌兰察布市,内蒙古自治区,47
牡丹江市,黑龙江省,47
抚州市,江西省,47
河源市,广东省,47
驻马店市,河南省,47
三门峡市,河南省,48
孝感市,湖北省,48
绥化市,黑龙江省,48
景德镇市,江西省,48
宿州市,安徽省,48
济南市,山东省,48
辽源市,吉林省,48
呼和浩特市,内蒙古自治区,49
上饶市,江西省,49
肇庆市,广东省,49
汕尾市,广东省,49
云浮市,广东省,49
深圳市,广东省,49
临沂市,山东省,49
日照市,山东省,49
荆门市,湖北省,49
南充市,四川省,49
内江市,四川省,49
昌吉州,新疆维吾尔自治区,50
句容市,江苏省,50
金坛市,江苏省,50
来宾市,广西壮族自治区,50
十堰市,湖北省,50
黄石市,湖北省,50
武汉市,湖北省,50
常州市,江苏省,50
赣州市,江西省,50
枣庄市,山东省,50
阜阳市,安徽省,50
厦门市,福建省,50
亳州市,安徽省,51
杭州市,浙江省,51
佳木斯市,黑龙江省,51
宜昌市,湖北省,51
荆州市,湖北省,51
广州市,广东省,51
胶南市,山东省,51
平凉市,甘肃省,51
安康市,陕西省,51
商洛市,陕西省,52
章丘市,山东省,52
梧州市,广西壮族自治区,52
渭南市,陕西省,52
咸阳市,陕西省,52
曲靖市,云南省,52
岳阳市,湖南省,52
汕头市,广东省,52
菏泽市,山东省,52
威海市,山东省,52
平顶山市,河南省,52
松原市,吉林省,52
鸡西市,黑龙江省,52
沈阳市,辽宁省,52
运城市,山西省,52
湖州市,浙江省,52
东营市,山东省,52
漳州市,福建省,52
福州市,福建省,53
张家口市,河北省,53
南阳市,河南省,53
洛阳市,河南省,53
开封市,河南省,53
许昌市,河南省,53
阳江市,广东省,53
凉山州,四川省,53
宝鸡市,陕西省,54
珠海市,广东省,54
新乡市,河南省,54
通辽市,内蒙古自治区,54
承德市,河北省,54
辽阳市,辽宁省,54
南昌市,江西省,54
库尔勒市,新疆维吾尔自治区,54
武威市,甘肃省,54
襄阳市,湖北省,55
招远市,山东省,55
乌鲁木齐市,新疆维吾尔自治区,55
莆田市,福建省,55
朝阳市,辽宁省,55
大同市,山西省,55
焦作市,河南省,55
漯河市,河南省,55
西双版纳州,云南省,55
怒江州,云南省,56
惠州市,广东省,56
佛山市,广东省,56
东莞市,广东省,56
随州市,湖北省,56
信阳市,河南省,56
沧州市,河北省,56
青岛市,山东省,56
泉州市,福建省,56
龙岩市,福建省,57
郑州市,河南省,57
溧阳市,江苏省,58
宜兴市,江苏省,58
伊犁哈萨克州,新疆维吾尔自治区,58
西宁市,青海省,58
中山市,广东省,58
吉林市,吉林省,58
忻州市,山西省,58
烟台市,山东省,59
衡水市,河北省,59
潮州市,广东省,59
自贡市,四川省,59
周口市,河南省,59
安阳市,河南省,59
莱州市,山东省,59
西安市,陕西省,59
塔城地区,新疆维吾尔自治区,59
克州,新疆维吾尔自治区,60
鹤壁市,河南省,60
普洱市,云南省,62
崇左市,广西壮族自治区,62
益阳市,湖南省,62
抚顺市,辽宁省,62
鞍山市,辽宁省,62
朔州市,山西省,62
唐山市,河北省,62
廊坊市,河北省,63
双鸭山市,黑龙江省,63
齐齐哈尔市,黑龙江省,63
南宁市,广西壮族自治区,63
北海市,广西壮族自治区,63
嘉峪关市,甘肃省,64
哈密地区,新疆维吾尔自治区,64
宜宾市,四川省,64
六盘水市,贵州省,64
文山州,云南省,64
滨州市,山东省,64
揭阳市,广东省,65
濮阳市,河南省,65
哈尔滨市,黑龙江省,65
邯郸市,河北省,66
阜新市,辽宁省,66
德州市,山东省,66
吐鲁番地区,新疆维吾尔自治区,67
聊城市,山东省,67
江门市,广东省,67
红河州,云南省,67
大连市,辽宁省,67
乌海市,内蒙古自治区,67
天津市,天津市,67
北京市,北京市,67
保定市,河北省,69
大理州,云南省,69
攀枝花市,四川省,69
阿克苏地区,新疆维吾尔自治区,70
长沙市,湖南省,70
贵港市,广西壮族自治区,70
保山市,云南省,70
铁岭市,辽宁省,70
锦州市,辽宁省,71
邢台市,河北省,71
玉溪市,云南省,72
石嘴山市,宁夏回族自治区,73
秦皇岛市,河北省,74
营口市,辽宁省,74
喀什地区,新疆维吾尔自治区,74
博州,新疆维吾尔自治区,75
防城港市,广西壮族自治区,77
钦州市,广西壮族自治区,80
张掖市,甘肃省,81
鹤岗市,黑龙江省,83
葫芦岛市,辽宁省,83
玉林市,广西壮族自治区,87
石家庄市,河北省,87
酒泉市,甘肃省,93
四平市,吉林省,93
长春市,吉林省,93
临沧市,云南省,102
德宏州,云南省,105
和田,新疆维吾尔自治区,152
